	 D00040	 D00066	 D00067	 D00075	 D00088	 D00094	 D00105	 D00129	 D00143	 D00163	 D00182	 D00187	 D00188	 D00211	 D00246	 D00279	 D00299	 D00312	 D00316	 D00327	 D00348	 D00443	 D00462	 D00506	 D00554	 D00565	 D00577	 D00585	 D00586	 D00596	 D00627	 D00690	 D00730	 D00898	 D00930	 D00950	 D00951	 D00954	 D00956	 D00961	 D00962	 D00965	 D01115	 D01132	 D01161	 D01217	 D01294	 D01387	 D01441	 D01689	 D02217	 D02367	 D04066	 D05341
D00182	0.00000	0.19350	0.05620	0.09100	0.02950	0.00000	0.22600	0.02030	0.00000	0.00000	1.00000	0.00000	0.01630	0.00000	0.01980	0.00000	0.00000	0.05620	0.00000	0.00000	0.00000	0.05140	0.01060	0.03440	0.26320	0.02320	0.00000	0.04230	0.00040	0.04400	0.02970	0.01370	0.00000	0.00000	0.00000	0.15470	0.19220	0.05640	0.00000	0.02440	0.07800	0.00000	0.02270	0.00000	0.05880	0.00030	0.00000	0.00000	0.07100	0.01610	0.15830	0.11160	0.00000	0.00000	
D00187	0.00000	0.00100	0.00000	0.00010	0.00310	0.00000	0.02350	0.16320	0.00000	0.00000	0.00000	1.00000	0.13490	0.00000	0.01080	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01830	0.00000	0.05980	0.00860	0.02910	0.00000	0.00000	0.00000	0.02520	0.00010	0.00000	0.00000	0.00000	0.00000	0.01770	0.02510	0.00000	0.00000	0.00120	0.00000	0.00000	0.00270	0.00000	0.03810	0.00000	0.00000	0.00000	0.03420	0.00010	0.05580	0.00150	0.00000	0.00000	
D00188	0.00000	0.00000	0.00000	0.00410	0.02960	0.00000	0.01870	0.06440	0.00000	0.00000	0.01630	0.13490	1.00000	0.00000	0.02150	0.00000	0.00000	0.00000	0.07340	0.00000	0.00000	0.02450	0.00000	0.01940	0.01200	0.04430	0.00000	0.00000	0.00000	0.04090	0.03050	0.00000	0.00000	0.00000	0.00000	0.00700	0.01560	0.00000	0.00000	0.00880	0.00010	0.00000	0.00010	0.00000	0.00010	0.00000	0.00000	0.00000	0.03840	0.00000	0.03020	0.00000	0.00000	0.00000	
D00211	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00246	0.00000	0.02120	0.00000	0.04070	0.07930	0.00000	0.04740	0.03610	0.00000	0.00000	0.01980	0.01080	0.02150	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04530	0.00050	0.05730	0.03660	0.03500	0.00000	0.00790	0.00010	0.06630	0.04530	0.07110	0.00000	0.00000	0.00000	0.06300	0.05880	0.00810	0.00000	0.01260	0.02190	0.00000	0.00210	0.00000	0.02070	0.01860	0.00000	0.00290	0.08200	0.02160	0.05120	0.01810	0.00000	0.00000	
D00279	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00299	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00312	0.00000	0.09940	1.00000	0.09500	0.00000	0.00000	0.04460	0.00000	0.00000	0.00000	0.05620	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06930	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04470	0.04570	0.00000	0.00000	0.00000	0.12150	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06260	0.09440	0.00000	0.00000	
D00316	0.00000	0.02570	0.00000	0.00830	0.03090	0.00000	0.00110	0.00000	0.00000	0.00000	0.00000	0.00000	0.07340	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00140	0.00000	0.00000	0.00000	0.00000	0.00120	0.00000	0.00000	0.00000	0.00000	0.00000	0.00410	0.00110	0.00000	0.00000	0.02090	0.09180	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01400	0.00000	0.00030	0.00300	0.00000	0.00000	
D00327	0.00000	0.00100	0.00000	0.10680	0.00000	0.00000	0.00040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00070	0.00090	0.00000	0.00000	0.00000	0.00840	0.00100	0.00000	0.00000	0.00000	0.00000	0.00040	0.00050	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00160	0.00000	0.00000	0.00000	0.00040	0.00000	0.00060	0.00000	0.00000	0.00000	
D00348	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00443	0.00000	0.04150	0.00000	0.03880	0.04430	0.00000	0.09960	0.01800	0.00000	0.00000	0.05140	0.01830	0.02450	0.00000	0.04530	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.01170	0.04410	0.08270	0.07300	0.00580	0.00820	0.02230	0.10370	0.08910	0.02160	0.00000	0.00000	0.00000	0.09420	0.09770	0.02360	0.00000	0.06880	0.02250	0.00000	0.07540	0.00000	0.02300	0.02250	0.00000	0.00000	0.13760	0.00010	0.08600	0.03580	0.00000	0.00000	
D00462	0.00000	0.00180	0.00000	0.14280	0.00010	0.00000	0.01180	0.00030	0.00000	0.00000	0.01060	0.00000	0.00000	0.00000	0.00050	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01170	1.00000	0.00030	0.00030	0.00730	0.00000	0.00000	0.00020	0.00930	0.00740	0.00000	0.00000	0.00000	0.00000	0.01410	0.01280	0.00030	0.00000	0.00970	0.03030	0.00000	0.00090	0.00000	0.01420	0.00000	0.00000	0.00000	0.00540	0.00000	0.01630	0.00000	0.00000	0.00000	
D00506	0.00000	0.02950	0.00000	0.04020	0.02990	0.00000	0.04870	0.01310	0.00000	0.00000	0.03440	0.05980	0.01940	0.00000	0.05730	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04410	0.00030	1.00000	0.04150	0.05040	0.00000	0.04280	0.01670	0.04640	0.02650	0.01130	0.00000	0.00000	0.00000	0.05650	0.05620	0.00390	0.00000	0.01760	0.03560	0.00000	0.02580	0.00000	0.00490	0.00440	0.00000	0.00000	0.05470	0.00000	0.04440	0.02940	0.00000	0.00000	
D00554	0.00000	0.25840	0.06930	0.08980	0.05200	0.00000	0.56830	0.04580	0.00000	0.00000	0.26320	0.00860	0.01200	0.00000	0.03660	0.00000	0.00000	0.06930	0.00140	0.00070	0.00000	0.08270	0.00030	0.04150	1.00000	0.05540	0.00000	0.08280	0.06690	0.08220	0.04210	0.02360	0.00000	0.00000	0.00000	0.33250	0.31420	0.15620	0.00250	0.03390	0.10270	0.00000	0.04610	0.00000	0.03340	0.01250	0.00000	0.00000	0.13230	0.02240	0.18330	0.36350	0.00000	0.00000	
D00565	0.00000	0.03030	0.00000	0.02090	0.06140	0.00000	0.08460	0.00910	0.00000	0.00000	0.02320	0.02910	0.04430	0.00000	0.03500	0.00000	0.00000	0.00000	0.00000	0.00090	0.00000	0.07300	0.00730	0.05040	0.05540	1.00000	0.00040	0.01030	0.01830	0.09750	0.08850	0.02480	0.00000	0.00000	0.00000	0.06200	0.06910	0.00760	0.00340	0.03930	0.03870	0.00360	0.03670	0.00000	0.04760	0.01290	0.00000	0.00300	0.10700	0.01100	0.09920	0.02560	0.00000	0.00000	
D00577	0.00000	0.04860	0.00000	0.04700	0.00000	0.00000	0.00030	0.00110	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00580	0.00000	0.00000	0.00000	0.00040	1.00000	0.00000	0.00000	0.00030	0.00040	0.00000	0.00000	0.00000	0.00000	0.02210	0.04550	0.00000	0.00000	0.00860	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00140	0.00450	0.00000	0.00000	0.00000	
D00585	0.00000	0.11580	0.00000	0.00160	0.00570	0.00000	0.06120	0.01510	0.00000	0.00000	0.04230	0.00000	0.00000	0.00000	0.00790	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00820	0.00000	0.04280	0.08280	0.01030	0.00000	1.00000	0.00060	0.01640	0.00180	0.00090	0.00000	0.00000	0.00000	0.19640	0.09620	0.00570	0.00000	0.00010	0.09740	0.00000	0.00020	0.00000	0.01450	0.03660	0.00000	0.00000	0.02470	0.00000	0.02540	0.06510	0.00000	0.00000	
D00586	0.00000	0.01820	0.00000	0.02740	0.03570	0.00000	0.04490	0.00070	0.00000	0.00000	0.00040	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02230	0.00020	0.01670	0.06690	0.01830	0.00000	0.00060	1.00000	0.01520	0.00350	0.00000	0.00000	0.00000	0.00000	0.03510	0.03830	0.00020	0.00000	0.04960	0.00130	0.00000	0.00000	0.00000	0.00220	0.00000	0.00000	0.00000	0.04930	0.00000	0.01970	0.00000	0.00000	0.00000	
D00596	0.00000	0.05660	0.00000	0.05140	0.05380	0.00000	0.12440	0.03110	0.00000	0.00000	0.04400	0.02520	0.04090	0.00000	0.06630	0.00000	0.00000	0.00000	0.00120	0.00840	0.00000	0.10370	0.00930	0.04640	0.08220	0.09750	0.00030	0.01640	0.01520	1.00000	0.11110	0.02560	0.00000	0.00000	0.00000	0.09840	0.11110	0.01010	0.00220	0.05730	0.04080	0.00230	0.05390	0.00000	0.04790	0.00030	0.00000	0.00200	0.15200	0.01020	0.15010	0.04200	0.00000	0.00000	
D00627	0.00000	0.00890	0.00000	0.03600	0.05340	0.00000	0.06710	0.02860	0.00000	0.00000	0.02970	0.00010	0.03050	0.00000	0.04530	0.00000	0.00000	0.00000	0.00000	0.00100	0.00000	0.08910	0.00740	0.02650	0.04210	0.08850	0.00040	0.00180	0.00350	0.11110	1.00000	0.01470	0.00000	0.00000	0.00000	0.05090	0.06660	0.01750	0.00000	0.07010	0.02160	0.00000	0.01680	0.00000	0.02660	0.00460	0.00000	0.00000	0.09700	0.01440	0.06950	0.02050	0.00000	0.00000	
D00690	0.00000	0.01920	0.00000	0.01940	0.02960	0.00000	0.02420	0.00810	0.00000	0.00000	0.01370	0.00000	0.00000	0.00000	0.07110	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02160	0.00000	0.01130	0.02360	0.02480	0.00000	0.00090	0.00000	0.02560	0.01470	1.00000	0.00000	0.00000	0.00000	0.03540	0.01970	0.00030	0.00000	0.02350	0.01280	0.00000	0.00260	0.00000	0.00310	0.00000	0.00000	0.00000	0.03580	0.00060	0.02960	0.01170	0.00000	0.00000	
D00730	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00898	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00930	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00950	0.00000	0.18460	0.04470	0.11160	0.05180	0.00000	0.33940	0.04460	0.00000	0.00000	0.15470	0.01770	0.00700	0.00000	0.06300	0.00000	0.00000	0.04470	0.00410	0.00040	0.00000	0.09420	0.01410	0.05650	0.33250	0.06200	0.02210	0.19640	0.03510	0.09840	0.05090	0.03540	0.00000	0.00000	0.00000	1.00000	0.29990	0.05210	0.01900	0.05900	0.14540	0.00000	0.04540	0.00000	0.04990	0.03100	0.00000	0.00140	0.13590	0.02720	0.18500	0.16890	0.00000	0.00000	
D00951	0.00000	0.28620	0.04570	0.11110	0.05210	0.00000	0.57830	0.06420	0.00000	0.00000	0.19220	0.02510	0.01560	0.00000	0.05880	0.00000	0.00000	0.04570	0.00110	0.00050	0.00000	0.09770	0.01280	0.05620	0.31420	0.06910	0.04550	0.09620	0.03830	0.11110	0.06660	0.01970	0.00000	0.00000	0.00000	0.29990	1.00000	0.04760	0.01790	0.06330	0.09310	0.00000	0.03400	0.00000	0.09530	0.06260	0.00000	0.00150	0.17310	0.00680	0.24030	0.11390	0.00000	0.00000	
D00954	0.00000	0.02090	0.00000	0.01370	0.00390	0.00000	0.10040	0.00150	0.00000	0.00000	0.05640	0.00000	0.00000	0.00000	0.00810	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02360	0.00030	0.00390	0.15620	0.00760	0.00000	0.00570	0.00020	0.01010	0.01750	0.00030	0.00000	0.00000	0.00000	0.05210	0.04760	1.00000	0.00000	0.01210	0.02770	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.04670	0.00000	0.00580	0.06450	0.00000	0.00000	
D00956	0.00000	0.03860	0.00000	0.04990	0.00000	0.00000	0.00160	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00250	0.00340	0.00000	0.00000	0.00000	0.00220	0.00000	0.00000	0.00000	0.00000	0.00000	0.01900	0.01790	0.00000	1.00000	0.00000	0.04720	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00220	0.00000	0.00000	0.00000	
D00961	0.00000	0.02970	0.00000	0.08790	0.02620	0.00000	0.06080	0.01420	0.00000	0.00000	0.02440	0.00120	0.00880	0.00000	0.01260	0.00000	0.00000	0.00000	0.02090	0.00000	0.00000	0.06880	0.00970	0.01760	0.03390	0.03930	0.00860	0.00010	0.04960	0.05730	0.07010	0.02350	0.00000	0.00000	0.00000	0.05900	0.06330	0.01210	0.00000	1.00000	0.02380	0.00000	0.03460	0.00000	0.02830	0.01260	0.00000	0.00000	0.09830	0.00010	0.06770	0.02940	0.00000	0.00000	
D00962	0.00000	0.14610	0.12150	0.06620	0.01450	0.00000	0.08740	0.00120	0.00000	0.00000	0.07800	0.00000	0.00010	0.00000	0.02190	0.00000	0.00000	0.12150	0.09180	0.00000	0.00000	0.02250	0.03030	0.03560	0.10270	0.03870	0.00000	0.09740	0.00130	0.04080	0.02160	0.01280	0.00000	0.00000	0.00000	0.14540	0.09310	0.02770	0.04720	0.02380	1.00000	0.00000	0.03060	0.00000	0.02490	0.01930	0.00000	0.00000	0.05660	0.00030	0.05480	0.07470	0.00000	0.00000	
D00965	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00360	0.00000	0.00000	0.00000	0.00230	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D01115	0.00000	0.03800	0.00000	0.03280	0.01940	0.00000	0.06640	0.00270	0.00000	0.00000	0.02270	0.00270	0.00010	0.00000	0.00210	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07540	0.00090	0.02580	0.04610	0.03670	0.00000	0.00020	0.00000	0.05390	0.01680	0.00260	0.00000	0.00000	0.00000	0.04540	0.03400	0.00020	0.00000	0.03460	0.03060	0.00000	1.00000	0.00000	0.03170	0.00000	0.00000	0.00000	0.02680	0.00020	0.05450	0.01160	0.00000	0.00000	
D01132	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D01161	0.00000	0.05730	0.00000	0.04010	0.01560	0.00000	0.09280	0.02420	0.00000	0.00000	0.05880	0.03810	0.00010	0.00000	0.02070	0.00000	0.00000	0.00000	0.00000	0.00160	0.00000	0.02300	0.01420	0.00490	0.03340	0.04760	0.00000	0.01450	0.00220	0.04790	0.02660	0.00310	0.00000	0.00000	0.00000	0.04990	0.09530	0.00000	0.00000	0.02830	0.02490	0.00000	0.03170	0.00000	1.00000	0.00030	0.00000	0.00000	0.06850	0.00240	0.08690	0.01030	0.00000	0.00000	
D01217	0.00000	0.01770	0.00000	0.00750	0.01700	0.00000	0.06340	0.00000	0.00000	0.00000	0.00030	0.00000	0.00000	0.00000	0.01860	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02250	0.00000	0.00440	0.01250	0.01290	0.00000	0.03660	0.00000	0.00030	0.00460	0.00000	0.00000	0.00000	0.00000	0.03100	0.06260	0.00000	0.00000	0.01260	0.01930	0.00000	0.00000	0.00000	0.00030	1.00000	0.00000	0.00000	0.02090	0.00000	0.00930	0.07410	0.00000	0.00000	
D01294	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D01387	0.00000	0.00320	0.00000	0.00000	0.00270	0.00000	0.00140	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00290	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00300	0.00000	0.00000	0.00000	0.00200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00140	0.00150	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00120	0.00000	0.00200	0.00000	0.00000	0.00000	
