	 D00040	 D00066	 D00067	 D00075	 D00088	 D00094	 D00105	 D00129	 D00143	 D00163	 D00182	 D00187	 D00188	 D00211	 D00246	 D00279	 D00299	 D00312	 D00316	 D00327	 D00348	 D00443	 D00462	 D00506	 D00554	 D00565	 D00577	 D00585	 D00586	 D00596	 D00627	 D00690	 D00730	 D00898	 D00930	 D00950	 D00951	 D00954	 D00956	 D00961	 D00962	 D00965	 D01115	 D01132	 D01161	 D01217	 D01294	 D01387	 D01441	 D01689	 D02217	 D02367	 D04066	 D05341
D00182	0.00000	0.04820	0.00480	0.00940	0.01420	0.00000	0.11940	0.00760	0.00000	0.00000	1.00000	0.00000	0.00270	0.00000	0.00600	0.00000	0.00000	0.00500	0.00000	0.00000	0.00000	0.01030	0.00270	0.01200	0.08540	0.00740	0.00000	0.00170	0.00050	0.01110	0.01350	0.00220	0.00000	0.00000	0.00000	0.05750	0.06920	0.01110	0.00000	0.00220	0.01440	0.00000	0.00920	0.00000	0.00710	0.00040	0.00000	0.00000	0.00980	0.00240	0.04640	0.05730	0.00000	0.00000	
D00187	0.00000	0.00060	0.00000	0.00080	0.00730	0.00000	0.01450	0.31570	0.00000	0.00000	0.00000	1.00000	0.18110	0.00000	0.00620	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01190	0.00000	0.01140	0.01270	0.03370	0.00000	0.00000	0.00000	0.01030	0.00080	0.00160	0.00000	0.00000	0.00000	0.00170	0.01540	0.00000	0.00000	0.00420	0.00000	0.00000	0.00090	0.00000	0.01950	0.00000	0.00000	0.00000	0.01740	0.00000	0.01880	0.00240	0.00000	0.00000	
D00188	0.00000	0.00000	0.00000	0.00120	0.02010	0.00000	0.00780	0.06250	0.00000	0.00000	0.00270	0.18110	1.00000	0.00000	0.03230	0.00000	0.00000	0.00000	0.08350	0.00000	0.00000	0.01640	0.00000	0.00810	0.00760	0.03010	0.00000	0.00000	0.00220	0.01050	0.01240	0.00020	0.00000	0.00000	0.00000	0.00100	0.00270	0.00000	0.00000	0.00230	0.00000	0.00000	0.00020	0.00000	0.00010	0.00000	0.00000	0.00000	0.01020	0.00000	0.01660	0.00000	0.00000	0.00000	
D00211	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00246	0.00000	0.01080	0.00000	0.03230	0.11250	0.00000	0.02160	0.03950	0.00000	0.00000	0.00600	0.00620	0.03230	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03040	0.00050	0.03820	0.02430	0.03420	0.00000	0.00210	0.00060	0.04540	0.04860	0.10500	0.00000	0.00000	0.00000	0.01280	0.01800	0.00710	0.00000	0.01360	0.01450	0.00000	0.01620	0.00000	0.01440	0.01190	0.00000	0.00100	0.03510	0.00680	0.03280	0.01220	0.00000	0.00000	
D00279	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00299	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00312	0.00000	0.12370	0.99990	0.04180	0.00000	0.00000	0.07140	0.00000	0.00000	0.00000	0.00500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07840	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01260	0.04640	0.00000	0.00000	0.00000	0.03560	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19100	0.06400	0.00000	0.00000	
D00316	0.00000	0.00230	0.00000	0.00060	0.01930	0.00000	0.00090	0.00000	0.00000	0.00000	0.00000	0.00000	0.08350	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00270	0.00000	0.00000	0.00000	0.00000	0.00160	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00030	0.00000	0.00000	0.04010	0.01040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00960	0.00000	0.00010	0.01030	0.00000	0.00000	
D00327	0.00000	0.00000	0.00000	0.01990	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01650	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00348	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00443	0.00000	0.01410	0.00000	0.04140	0.03180	0.00000	0.04950	0.02990	0.00000	0.00000	0.01030	0.01190	0.01640	0.00000	0.03040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00800	0.02310	0.06260	0.05770	0.00500	0.00070	0.01730	0.06570	0.08960	0.01910	0.00000	0.00000	0.00000	0.01840	0.02410	0.00820	0.00000	0.04370	0.01100	0.00000	0.03890	0.00000	0.01140	0.00630	0.00000	0.00000	0.05720	0.00010	0.04530	0.02760	0.00000	0.00000	
D00462	0.00000	0.00300	0.00000	0.06780	0.00040	0.00000	0.01260	0.00000	0.00000	0.00000	0.00270	0.00000	0.00000	0.00000	0.00050	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00800	1.00000	0.00040	0.00160	0.00320	0.00000	0.00000	0.00050	0.00250	0.00310	0.00000	0.00000	0.00000	0.00000	0.00250	0.00190	0.00260	0.00000	0.00530	0.01290	0.00000	0.00290	0.00000	0.00740	0.00000	0.00000	0.00000	0.00350	0.00000	0.00690	0.00000	0.00000	0.00000	
D00506	0.00000	0.02780	0.00000	0.01890	0.03490	0.00000	0.02840	0.00420	0.00000	0.00000	0.01200	0.01140	0.00810	0.00000	0.03820	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02310	0.00040	1.00000	0.04490	0.03790	0.00000	0.00900	0.01370	0.01700	0.01670	0.00840	0.00000	0.00000	0.00000	0.01770	0.01630	0.00280	0.00000	0.00700	0.03030	0.00000	0.01080	0.00000	0.00520	0.00230	0.00000	0.00000	0.02190	0.00010	0.02080	0.02290	0.00000	0.00000	
D00554	0.00000	0.30910	0.07840	0.04800	0.03700	0.00000	0.56520	0.02660	0.00000	0.00000	0.08540	0.01270	0.00760	0.00000	0.02430	0.00000	0.00000	0.07840	0.00270	0.00000	0.00000	0.06260	0.00160	0.04490	1.00000	0.04910	0.00000	0.01670	0.03930	0.04370	0.03860	0.01600	0.00000	0.00000	0.00000	0.12580	0.31600	0.15480	0.00900	0.02230	0.08890	0.00000	0.05350	0.00000	0.02560	0.01380	0.00000	0.00000	0.04450	0.00740	0.13290	0.34830	0.00000	0.00000	
D00565	0.00000	0.02700	0.00000	0.01050	0.06860	0.00000	0.04650	0.01740	0.00000	0.00000	0.00740	0.03370	0.03010	0.00000	0.03420	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.05770	0.00320	0.03790	0.04910	1.00000	0.00160	0.00200	0.01330	0.08950	0.08060	0.02010	0.00000	0.00000	0.00000	0.01150	0.02640	0.00720	0.01660	0.03420	0.01610	0.00490	0.01980	0.00000	0.03890	0.01230	0.00000	0.00050	0.05010	0.03390	0.06490	0.02370	0.00000	0.00000	
D00577	0.00000	0.05470	0.00000	0.01920	0.00000	0.00000	0.00070	0.00840	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00500	0.00000	0.00000	0.00000	0.00160	1.00000	0.00000	0.00000	0.00150	0.01050	0.00000	0.00000	0.00000	0.00000	0.00180	0.00730	0.00000	0.00000	0.00480	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00490	0.00860	0.00300	0.00000	0.00000	0.00000	
D00585	0.00000	0.03780	0.00000	0.00030	0.00250	0.00000	0.01970	0.00580	0.00000	0.00000	0.00170	0.00000	0.00000	0.00000	0.00210	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00070	0.00000	0.00900	0.01670	0.00200	0.00000	1.00000	0.00070	0.00150	0.00070	0.00000	0.00000	0.00000	0.00000	0.14970	0.02310	0.00080	0.00000	0.00000	0.06450	0.00000	0.00000	0.00000	0.00070	0.01010	0.00000	0.00000	0.00240	0.00000	0.00370	0.02140	0.00000	0.00000	
D00586	0.00000	0.01390	0.00000	0.06760	0.03650	0.00000	0.01430	0.00180	0.00000	0.00000	0.00050	0.00000	0.00220	0.00000	0.00060	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01730	0.00050	0.01370	0.03930	0.01330	0.00000	0.00070	1.00000	0.00970	0.00820	0.00030	0.00000	0.00000	0.00000	0.00610	0.01530	0.00160	0.00000	0.08240	0.00060	0.00000	0.00010	0.00000	0.01410	0.00000	0.00000	0.00000	0.01530	0.00010	0.02420	0.00000	0.00000	0.00000	
D00596	0.00000	0.02070	0.00000	0.01120	0.03020	0.00000	0.04620	0.03900	0.00000	0.00000	0.01110	0.01030	0.01050	0.00000	0.04540	0.00000	0.00000	0.00000	0.00160	0.01650	0.00000	0.06570	0.00250	0.01700	0.04370	0.08950	0.00150	0.00150	0.00970	1.00000	0.08150	0.02030	0.00000	0.00000	0.00000	0.01340	0.03020	0.00320	0.00360	0.02450	0.01320	0.01600	0.04420	0.00000	0.01010	0.00110	0.00000	0.00030	0.05290	0.00410	0.09150	0.02070	0.00000	0.00000	
D00627	0.00000	0.00630	0.00000	0.01200	0.03790	0.00000	0.02830	0.04720	0.00000	0.00000	0.01350	0.00080	0.01240	0.00000	0.04860	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.08960	0.00310	0.01670	0.03860	0.08060	0.01050	0.00070	0.00820	0.08150	1.00000	0.02020	0.00000	0.00000	0.00000	0.01420	0.02040	0.01540	0.00010	0.03870	0.00740	0.00000	0.02330	0.00000	0.02730	0.00640	0.00000	0.00000	0.06920	0.00930	0.05980	0.01900	0.00000	0.00000	
D00690	0.00000	0.00620	0.00000	0.01030	0.06880	0.00000	0.01720	0.03270	0.00000	0.00000	0.00220	0.00160	0.00020	0.00000	0.10500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01910	0.00000	0.00840	0.01600	0.02010	0.00000	0.00000	0.00030	0.02030	0.02020	1.00000	0.00000	0.00000	0.00000	0.01570	0.00860	0.00000	0.00000	0.02460	0.00480	0.00000	0.01050	0.00000	0.00130	0.00000	0.00000	0.00000	0.01270	0.00260	0.01140	0.00460	0.00000	0.00000	
D00730	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00898	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00930	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00950	0.00000	0.07210	0.01260	0.01830	0.01160	0.00000	0.11880	0.01170	0.00000	0.00000	0.05750	0.00170	0.00100	0.00000	0.01280	0.00000	0.00000	0.01260	0.00010	0.00000	0.00000	0.01840	0.00250	0.01770	0.12580	0.01150	0.00180	0.14970	0.00610	0.01340	0.01420	0.01570	0.00000	0.00000	0.00000	1.00000	0.11480	0.01230	0.04300	0.01240	0.06810	0.00000	0.01770	0.00000	0.00860	0.01100	0.00000	0.00000	0.01370	0.00510	0.05840	0.15010	0.00000	0.00000	
D00951	0.00000	0.37340	0.04640	0.03900	0.01860	0.00000	0.59160	0.04960	0.00000	0.00000	0.06920	0.01540	0.00270	0.00000	0.01800	0.00000	0.00000	0.04640	0.00030	0.00000	0.00000	0.02410	0.00190	0.01630	0.31600	0.02640	0.00730	0.02310	0.01530	0.03020	0.02040	0.00860	0.00000	0.00000	0.00000	0.11480	1.00000	0.01020	0.10820	0.01770	0.04240	0.00000	0.02340	0.00000	0.03170	0.02930	0.00000	0.00020	0.03990	0.00410	0.17540	0.07810	0.00000	0.00000	
D00954	0.00000	0.01050	0.00000	0.01110	0.00450	0.00000	0.04730	0.00490	0.00000	0.00000	0.01110	0.00000	0.00000	0.00000	0.00710	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00820	0.00260	0.00280	0.15480	0.00720	0.00000	0.00080	0.00160	0.00320	0.01540	0.00000	0.00000	0.00000	0.00000	0.01230	0.01020	1.00000	0.00000	0.00790	0.02190	0.00000	0.00850	0.00000	0.00020	0.00000	0.00000	0.00000	0.01040	0.00000	0.00550	0.07430	0.00000	0.00000	
D00956	0.00000	0.01170	0.00000	0.01560	0.00000	0.00000	0.00180	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00900	0.01660	0.00000	0.00000	0.00000	0.00360	0.00010	0.00000	0.00000	0.00000	0.00000	0.04300	0.10820	0.00000	1.00000	0.00000	0.02860	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00980	0.00000	0.00000	0.00000	
D00961	0.00000	0.01040	0.00000	0.10800	0.01640	0.00000	0.02840	0.00500	0.00000	0.00000	0.00220	0.00420	0.00230	0.00000	0.01360	0.00000	0.00000	0.00000	0.04010	0.00000	0.00000	0.04370	0.00530	0.00700	0.02230	0.03420	0.00480	0.00000	0.08240	0.02450	0.03870	0.02460	0.00000	0.00000	0.00000	0.01240	0.01770	0.00790	0.00000	1.00000	0.00710	0.00000	0.02020	0.00000	0.00770	0.00570	0.00000	0.00000	0.03140	0.00000	0.04300	0.02460	0.00000	0.00000	
D00962	0.00000	0.17100	0.03560	0.00940	0.00710	0.00000	0.04250	0.00040	0.00000	0.00000	0.01440	0.00000	0.00000	0.00000	0.01450	0.00000	0.00000	0.03560	0.01040	0.00000	0.00000	0.01100	0.01290	0.03030	0.08890	0.01610	0.00000	0.06450	0.00060	0.01320	0.00740	0.00480	0.00000	0.00000	0.00000	0.06810	0.04240	0.02190	0.02860	0.00710	1.00000	0.00000	0.01760	0.00000	0.01210	0.02510	0.00000	0.00000	0.02380	0.00010	0.03390	0.05560	0.00000	0.00000	
D00965	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00490	0.00000	0.00000	0.00000	0.01600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D01115	0.00000	0.02100	0.00000	0.01360	0.01400	0.00000	0.04070	0.00180	0.00000	0.00000	0.00920	0.00090	0.00020	0.00000	0.01620	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03890	0.00290	0.01080	0.05350	0.01980	0.00000	0.00000	0.00010	0.04420	0.02330	0.01050	0.00000	0.00000	0.00000	0.01770	0.02340	0.00850	0.00000	0.02020	0.01760	0.00000	1.00000	0.00000	0.05240	0.00000	0.00000	0.00000	0.01090	0.00000	0.04460	0.01170	0.00000	0.00000	
D01132	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D01161	0.00000	0.03020	0.00000	0.00730	0.01840	0.00000	0.03570	0.03350	0.00000	0.00000	0.00710	0.01950	0.00010	0.00000	0.01440	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01140	0.00740	0.00520	0.02560	0.03890	0.00000	0.00070	0.01410	0.01010	0.02730	0.00130	0.00000	0.00000	0.00000	0.00860	0.03170	0.00020	0.00000	0.00770	0.01210	0.00000	0.05240	0.00000	1.00000	0.00100	0.00000	0.00000	0.03040	0.00260	0.05250	0.00730	0.00000	0.00000	
D01217	0.00000	0.02300	0.00000	0.00200	0.01050	0.00000	0.06700	0.00000	0.00000	0.00000	0.00040	0.00000	0.00000	0.00000	0.01190	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00630	0.00000	0.00230	0.01380	0.01230	0.00000	0.01010	0.00000	0.00110	0.00640	0.00000	0.00000	0.00000	0.00000	0.01100	0.02930	0.00000	0.00000	0.00570	0.02510	0.00000	0.00000	0.00000	0.00100	1.00000	0.00000	0.00000	0.00760	0.00000	0.02220	0.05630	0.00000	0.00000	
D01294	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D01387	0.00000	0.00040	0.00000	0.00000	0.00090	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00100	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00050	0.00000	0.00000	0.00000	0.00030	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00030	0.00000	0.00040	0.00000	0.00000	0.00000	
