	 D00035	 D00110	 D00136	 D00195	 D00219	 D00225	 D00227	 D00228	 D00234	 D00252	 	D00274	 D00283	 D00293	 D00294	 D00303	 D00319	 D00326	 D00329	 D00331	 D00332	 D00335	 D00336	 D00338	 D00340	 D00345	 D00349	 D00351	 D00354	 D00358	 D00364	 D00367	 D00373	 D00379	 D00380	 D00392	 D00394	 D00418	 D00437	 D00438	 D00451	 D00456	 D00464	 D00474	 D00477	 D00480	 D00495	 D00499	 D00504	 D00512	 D00513	 D00519	 D00521	 D00524	 D00528	 D00530	 D00533	 D00536	 D00537	 D00538	 D00539	 D00542	 D00543	 D00544	 D00545	 D00546	 D00547	 D00548	 D00549	 D00550	 D00552	 D00553	 D00560	 D00563	 D00574	 D00593	 D00594	 D00607	 D00611	 D00615	 D00616	 D00617	 D00618	 D00619	 D00629	 D00631	 D00633	 D00636	 D00638	 D00639	 D00640	 D00642	 D00647	 D00648	 D00649	 D00650	 D00651	 D00654	 D00656	 D00658	 D00677	 D00678	 D00694	 D00697	 D00704	 D00708	 D00709	 D00711	 D00726	 D00732	 D00733	 D00735	 D00738	 D00739	 D00740	 D00741	 D00759	 D00760	 D00761	 D00765	 D00771	 D00775	 D00779	 D00791	 D00798	 D00799	 D00809	 D00812	 D00816	 D00823	 D00831	 D00960	 D00963	 D00964	 D01071	 D01108	 D01111	 D01118	 D01242	 D01243	 D01253	 D01256	 D01275	 D01287	 D01295	 D01350	 D01448	 D01450	 D01453	 D01575	 D01599	 D01603	 D01712	 D01768	 D01799	 D01828	 D01854	 D01969	 D02041	 D02086	 D02087	 D02088	 D02092	 D02098	 D02101	 D02163	 D02173	 D02204	 D02207	 D02234	 D02237	 D02253	 D02261	 D02262	 D02272	 D02347	 D02356	 D02360	 D02362	 D02409	 D02461	 D02485	 D02546	 D02566	 D02630	 D02914	 D03037	 D03180	 D03274	 D03365	 D03450	 D03580	 D03742	 D03826	 D03830	 D03878	 D03991	 D04034	 D04048	 D04370	 D04790	 D04985	 D04999	 D05024	 D05077	 D05156	 D05453	 D05458	 D05461	 D06106	 D06172
D00513	0.00000	0.00230	0.02860	0.00430	0.00000	0.01270	0.00480	0.00130	0.00000	0.03070	0.00000	0.02360	0.03040	0.00050	0.00010	0.00040	0.02000	0.00020	0.03760	0.00000	0.00060	0.01540	0.00000	0.01940	0.00020	0.00000	0.00000	0.03940	0.00930	0.00250	0.00820	0.00040	0.00000	0.00000	0.00000	0.01970	0.00030	0.05280	0.00070	0.01630	0.00810	0.00000	0.00000	0.00000	0.01820	0.00000	0.00000	0.00000	0.02020	1.00000	0.00000	0.00000	0.00000	0.02190	0.00000	0.01930	0.00000	0.01530	0.00140	0.01450	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02470	0.01480	0.00840	0.00010	0.00060	0.02540	0.00000	0.02150	0.00000	0.00000	0.00000	0.03410	0.02520	0.03830	0.00000	0.00160	0.00000	0.00000	0.00000	0.01080	0.02770	0.00000	0.00250	0.00000	0.00190	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00050	0.00810	0.00780	0.00000	0.00000	0.00000	0.05300	0.00000	0.04640	0.00000	0.00000	0.00000	0.00040	0.00000	0.00000	0.00000	0.00920	0.00000	0.00000	0.03780	0.00000	0.00000	0.01880	0.00010	0.00010	0.00030	0.00540	0.00000	0.00000	0.03460	0.00000	0.00000	0.00000	0.00000	0.04280	0.00000	0.00030	0.00000	0.02020	0.00000	0.00750	0.00000	0.01520	0.04420	0.00000	0.00000	0.00030	0.02160	0.02190	0.00000	0.01090	0.00000	0.00510	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01010	0.00000	0.00000	0.01060	0.00000	0.00430	0.00000	0.03100	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00160	0.05410	0.04820	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01680	0.00000	0.00000	0.03030	0.00000	0.00000	0.00000	0.04890	0.00000	0.03730	0.00000	0.00000	0.03100	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00650	0.00000	
D00519	0.00000	0.00000	0.00660	0.00010	0.00000	0.00000	0.06870	0.00030	0.00000	0.02200	0.00000	0.00000	0.03310	0.00000	0.00000	0.00000	0.00570	0.00000	0.03320	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.05580	0.00000	0.00000	0.00000	0.02730	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.03110	0.00000	0.02760	0.01030	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.03670	0.00000	0.00000	0.00000	0.00000	0.00000	0.00440	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04060	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00010	0.00000	0.00000	0.00000	0.02510	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00420	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07260	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00650	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00521	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00524	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00520	0.02300	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01900	0.01850	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.01630	0.01480	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01490	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03620	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01930	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04220	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01170	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02510	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00940	0.01040	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00528	0.00000	0.02770	0.04470	0.06900	0.00000	0.08170	0.02170	0.04670	0.00030	0.05350	0.01080	0.03510	0.08450	0.00730	0.00760	0.00710	0.07030	0.02410	0.04350	0.00000	0.03650	0.03860	0.00000	0.06200	0.00310	0.00960	0.00000	0.07770	0.04960	0.02410	0.00000	0.02400	0.00000	0.00000	0.00000	0.00060	0.02280	0.06780	0.00020	0.04880	0.03240	0.00000	0.00000	0.00000	0.03150	0.00000	0.00910	0.00000	0.05110	0.02190	0.00000	0.00000	0.00000	1.00000	0.00000	0.06320	0.00000	0.06050	0.03560	0.02120	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02840	0.04450	0.03670	0.00000	0.00260	0.06900	0.00000	0.04420	0.01520	0.00000	0.00000	0.05580	0.05350	0.00950	0.05130	0.01960	0.04500	0.00000	0.00000	0.02710	0.01220	0.01120	0.03370	0.00120	0.03700	0.00000	0.00000	0.00470	0.00000	0.00000	0.00000	0.00040	0.00650	0.03360	0.02420	0.00000	0.00000	0.00000	0.05320	0.02340	0.03760	0.00000	0.01240	0.00000	0.01040	0.00000	0.00340	0.00000	0.01760	0.00000	0.00000	0.02890	0.00000	0.00000	0.01080	0.01260	0.02380	0.00070	0.04500	0.00390	0.00720	0.08650	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01440	0.00000	0.02880	0.00000	0.00930	0.00000	0.05050	0.00000	0.03540	0.00000	0.00000	0.01400	1.00000	0.00000	0.01060	0.00000	0.01820	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.04270	0.00000	0.00000	0.00820	0.02470	0.06900	0.00420	0.03250	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01750	0.00000	0.02090	0.07640	0.06860	0.00000	0.00000	0.00000	0.00000	0.00120	0.00000	0.03500	0.00000	0.00000	0.00940	0.00000	0.00000	0.03570	0.06790	0.00000	0.03110	0.00000	0.00000	0.00710	0.00330	0.00000	0.00000	0.00000	0.00000	0.01300	0.00000	0.00000	0.00590	0.00000	0.00000	0.04530	0.00000	
D00530	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00533	0.00000	0.06530	0.14280	0.08490	0.00000	0.16350	0.04880	0.02480	0.00010	0.29000	0.04160	0.17380	0.16390	0.02140	0.00800	0.04940	0.15640	0.03030	0.12880	0.00000	0.05110	0.04840	0.00000	0.12710	0.05720	0.01980	0.00000	0.22800	0.06600	0.05640	0.03530	0.07460	0.00000	0.00000	0.00000	0.04620	0.05090	0.08850	0.00710	0.07330	0.08690	0.00000	0.00000	0.00500	0.06500	0.00000	0.05030	0.00000	0.19420	0.01930	0.03110	0.00000	0.00000	0.06320	0.00000	1.00000	0.00000	0.19970	0.08800	0.04950	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06510	0.06650	0.01450	0.02070	0.03060	0.14460	0.00000	0.06070	0.02460	0.00000	0.00000	0.16900	0.06090	0.01990	0.01390	0.08240	0.00230	0.04090	0.00000	0.06680	0.05160	0.01390	0.05330	0.00150	0.06890	0.00000	0.00000	0.01500	0.00000	0.00000	0.01680	0.02100	0.04220	0.08540	0.06790	0.00000	0.00000	0.00000	0.22440	0.01250	0.08770	0.00000	0.00110	0.00000	0.02470	0.00000	0.01460	0.00000	0.00680	0.00000	0.00000	0.01380	0.00000	0.00000	0.07120	0.04440	0.06540	0.00680	0.06230	0.00070	0.07310	0.18880	0.00000	0.00000	0.00000	0.00000	0.00840	0.00000	0.02720	0.00000	0.04950	0.00000	0.10020	0.00000	0.05470	0.00020	0.00000	0.00000	0.01760	0.06310	0.06320	0.00000	0.01100	0.00000	0.04000	0.00000	0.00000	0.00000	0.01500	0.00000	0.00000	0.05970	0.00000	0.00000	0.05890	0.03130	0.08490	0.02160	0.06120	0.00000	0.00000	0.02130	0.00000	0.04120	0.00000	0.00000	0.00000	0.00000	0.08380	0.14300	0.16000	0.00000	0.00000	0.00000	0.00000	0.04760	0.04910	0.11750	0.00000	0.00000	0.04930	0.00000	0.00000	0.04530	0.05820	0.00000	0.05440	0.00000	0.00000	0.04820	0.02230	0.03650	0.00000	0.00000	0.00000	0.00040	0.00000	0.00000	0.00260	0.00000	0.00000	0.02220	0.00000	
D00536	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00537	0.00000	0.06510	0.13930	0.09320	0.00000	0.19560	0.05260	0.03710	0.00010	0.26790	0.03600	0.15950	0.16120	0.02010	0.01310	0.03350	0.16850	0.05090	0.14290	0.00000	0.05060	0.05910	0.00000	0.12060	0.02950	0.03000	0.00000	0.28380	0.07820	0.10110	0.00010	0.07840	0.01060	0.00260	0.00000	0.05000	0.08330	0.05960	0.00570	0.10910	0.09090	0.00000	0.00000	0.00590	0.06980	0.00000	0.01320	0.00000	0.20070	0.01530	0.02760	0.00000	0.01630	0.06050	0.00000	0.19970	0.00000	1.00000	0.10750	0.07800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06260	0.06400	0.00780	0.01370	0.05610	0.13860	0.00000	0.03990	0.00920	0.00000	0.00000	0.13810	0.08200	0.04660	0.00440	0.04540	0.00130	0.00400	0.01150	0.06410	0.02990	0.00170	0.03460	0.00060	0.05590	0.00000	0.00000	0.01090	0.00000	0.00000	0.01490	0.00560	0.01790	0.08560	0.08240	0.00000	0.00000	0.00000	0.26900	0.03790	0.08930	0.00020	0.01360	0.00000	0.03410	0.00000	0.00230	0.00000	0.03780	0.00000	0.00000	0.03140	0.00000	0.00000	0.05480	0.06800	0.06580	0.01980	0.08830	0.00060	0.06160	0.20360	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02730	0.00000	0.06070	0.00000	0.15180	0.00000	0.08320	0.00140	0.01370	0.00000	0.02820	0.05870	0.06050	0.00000	0.01480	0.00000	0.05340	0.00000	0.00000	0.00000	0.01860	0.00000	0.00010	0.07400	0.00000	0.00000	0.04570	0.01900	0.09320	0.03690	0.05340	0.00000	0.00000	0.01870	0.00000	0.01220	0.00000	0.00000	0.00000	0.00000	0.05690	0.16130	0.18830	0.00000	0.00000	0.00000	0.00000	0.07290	0.00260	0.07990	0.00000	0.00000	0.04240	0.00000	0.00000	0.05430	0.04750	0.00000	0.04240	0.00000	0.00000	0.04290	0.03310	0.01840	0.00000	0.00000	0.00000	0.01490	0.00000	0.00000	0.01780	0.00000	0.00000	0.01100	0.00000	
D00538	0.00000	0.02230	0.07060	0.03950	0.00010	0.05500	0.02820	0.01310	0.00020	0.18150	0.06230	0.07140	0.04630	0.00000	0.00450	0.02640	0.08590	0.00320	0.06510	0.00000	0.00670	0.01650	0.00000	0.05170	0.01940	0.02540	0.00000	0.13680	0.02680	0.06280	0.00000	0.00140	0.00000	0.00000	0.00000	0.03290	0.01300	0.02700	0.00410	0.03970	0.03450	0.00000	0.00000	0.00000	0.03000	0.00000	0.03560	0.00000	0.12890	0.00140	0.01030	0.00000	0.01480	0.03560	0.00000	0.08800	0.00000	0.10750	1.00000	0.05960	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02990	0.03230	0.00000	0.00030	0.02120	0.05440	0.00000	0.03280	0.01170	0.00000	0.00000	0.05990	0.03680	0.02240	0.00000	0.02420	0.00000	0.00850	0.03620	0.03480	0.00750	0.01390	0.01420	0.00000	0.01000	0.00000	0.00000	0.03250	0.00000	0.00000	0.00000	0.01150	0.00240	0.02930	0.02720	0.00000	0.00000	0.00000	0.12030	0.00480	0.02730	0.00000	0.00000	0.00000	0.00160	0.00000	0.00320	0.00000	0.00270	0.00000	0.00000	0.01460	0.00000	0.00000	0.03150	0.02650	0.00140	0.00020	0.01330	0.00070	0.03280	0.09960	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03870	0.00000	0.01540	0.00000	0.10700	0.00000	0.03680	0.00410	0.00000	0.00000	0.00030	0.00860	0.03560	0.00000	0.02400	0.00000	0.02710	0.00000	0.00000	0.00000	0.00580	0.00000	0.00000	0.02610	0.00000	0.00000	0.05720	0.00000	0.03950	0.03850	0.03520	0.00000	0.00000	0.00000	0.00000	0.06600	0.00000	0.00000	0.00000	0.00000	0.02960	0.08340	0.07470	0.00000	0.00000	0.00000	0.00000	0.00660	0.00000	0.03420	0.00000	0.00000	0.03680	0.00000	0.00000	0.00710	0.02150	0.00000	0.03100	0.00000	0.00000	0.03080	0.00190	0.00020	0.00000	0.00000	0.00000	0.00070	0.00000	0.00000	0.00000	0.00000	0.00000	0.00780	0.00000	
D00539	0.00000	0.00050	0.05170	0.00450	0.00000	0.04460	0.00130	0.00000	0.00000	0.09470	0.03210	0.02000	0.01200	0.00000	0.00000	0.03960	0.02690	0.00000	0.00190	0.00000	0.00720	0.00200	0.00000	0.01800	0.00130	0.00000	0.00000	0.08420	0.00260	0.01290	0.00000	0.09530	0.00000	0.00000	0.00000	0.00000	0.00220	0.00590	0.00000	0.01790	0.02090	0.00000	0.00000	0.00000	0.00100	0.00000	0.00000	0.00000	0.06470	0.01450	0.00000	0.00000	0.00000	0.02120	0.00000	0.04950	0.00000	0.07800	0.05960	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00590	0.02280	0.00000	0.00060	0.01170	0.04630	0.00000	0.00550	0.00010	0.00000	0.00000	0.01000	0.00390	0.03760	0.00000	0.00350	0.00320	0.00000	0.00000	0.00420	0.00720	0.03600	0.00080	0.00000	0.00580	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02180	0.03260	0.00000	0.00000	0.00000	0.08580	0.00020	0.03060	0.00000	0.00000	0.00000	0.00040	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00300	0.00000	0.00000	0.00030	0.00020	0.10340	0.00000	0.01110	0.00170	0.00790	0.03770	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01650	0.00000	0.00040	0.00000	0.18890	0.00000	0.00730	0.00060	0.00000	0.00000	0.00000	0.00020	0.02120	0.00000	0.00370	0.00000	0.00140	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00080	0.00000	0.00000	0.02740	0.00000	0.00450	0.00010	0.01850	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00370	0.07870	0.02730	0.00000	0.00000	0.00000	0.00000	0.00240	0.00000	0.00600	0.00000	0.00000	0.00090	0.00000	0.00000	0.00000	0.03550	0.00000	0.00500	0.00000	0.00000	0.00090	0.00000	0.00020	0.00000	0.00000	0.00000	0.03800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00080	0.00000	
D00542	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
