	 hsa190	 hsa2099	 hsa2100	 hsa2101	 hsa2103	 hsa2104	 hsa2908	 hsa3174	 hsa367	 hsa4306	 hsa5241	 hsa5465	 hsa5468	 hsa5914	 hsa5915	 hsa5916	 hsa6095	 hsa6096	 hsa6097	 hsa6256	 hsa6257	 hsa6258	 hsa7421	 hsa8856	 hsa9970	 hsa9971
hsa5241	0.90000	0.90000	0.33109	0.33109	0.00000	0.33109	0.33109	0.00000	0.33109	0.12180	1.00000	0.12180	0.33109	0.12180	0.12180	0.12180	0.33109	0.00000	0.00000	0.33109	0.12180	0.12180	0.12180	0.12180	0.12180	0.33109	
hsa5465	0.12180	0.33109	0.33109	0.12180	0.00000	0.04481	0.33109	0.00000	0.04481	0.33109	0.12180	1.00000	0.33109	0.33109	0.33109	0.33109	0.04481	0.00000	0.00000	0.90000	0.90000	0.90000	0.33109	0.33109	0.33109	0.33109	
hsa5468	0.90000	0.90000	0.90000	0.33109	0.00000	0.33109	0.90000	0.00000	0.33109	0.33109	0.33109	0.33109	1.00000	0.33109	0.33109	0.33109	0.33109	0.00000	0.00000	0.90000	0.90000	0.90000	0.90000	0.33109	0.33109	0.33109	
hsa5914	0.12180	0.33109	0.33109	0.12180	0.00000	0.04481	0.33109	0.00000	0.04481	0.33109	0.12180	0.33109	0.33109	1.00000	0.33109	0.33109	0.04481	0.00000	0.00000	0.90000	0.90000	0.90000	0.33109	0.33109	0.33109	0.33109	
hsa5915	0.12180	0.33109	0.33109	0.12180	0.00000	0.04481	0.33109	0.00000	0.04481	0.33109	0.12180	0.33109	0.33109	0.33109	1.00000	0.33109	0.04481	0.00000	0.00000	0.90000	0.90000	0.90000	0.33109	0.33109	0.33109	0.33109	
hsa5916	0.12180	0.33109	0.33109	0.12180	0.00000	0.04481	0.33109	0.00000	0.04481	0.33109	0.12180	0.33109	0.33109	0.33109	0.33109	1.00000	0.04481	0.00000	0.00000	0.90000	0.90000	0.90000	0.33109	0.33109	0.33109	0.33109	
hsa6095	0.90000	0.12180	0.12180	0.33109	0.00000	0.33109	0.33109	0.00000	0.33109	0.12180	0.33109	0.04481	0.33109	0.04481	0.04481	0.04481	1.00000	0.00000	0.00000	0.12180	0.12180	0.12180	0.12180	0.04481	0.04481	0.04481	
hsa6096	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
hsa6097	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
hsa6256	0.33109	0.90000	0.90000	0.33109	0.00000	0.12180	0.33109	0.00000	0.12180	0.90000	0.33109	0.90000	0.90000	0.90000	0.90000	0.90000	0.12180	0.00000	0.00000	1.00000	0.33109	0.33109	0.90000	0.90000	0.90000	0.90000	
hsa6257	0.33109	0.33109	0.33109	0.12180	0.00000	0.12180	0.90000	0.00000	0.12180	0.33109	0.12180	0.90000	0.90000	0.90000	0.90000	0.90000	0.12180	0.00000	0.00000	0.33109	1.00000	0.33109	0.90000	0.90000	0.12180	0.12180	
hsa6258	0.33109	0.33109	0.33109	0.12180	0.00000	0.12180	0.33109	0.00000	0.12180	0.12180	0.12180	0.90000	0.90000	0.90000	0.90000	0.90000	0.12180	0.00000	0.00000	0.33109	0.33109	1.00000	0.90000	0.90000	0.12180	0.90000	
hsa7421	0.33109	0.33109	0.33109	0.12180	0.00000	0.12180	0.33109	0.00000	0.12180	0.33109	0.12180	0.33109	0.90000	0.33109	0.33109	0.33109	0.12180	0.00000	0.00000	0.90000	0.90000	0.90000	1.00000	0.33109	0.33109	0.33109	
hsa8856	0.12180	0.33109	0.33109	0.12180	0.00000	0.04481	0.33109	0.00000	0.04481	0.33109	0.12180	0.33109	0.33109	0.33109	0.33109	0.33109	0.04481	0.00000	0.00000	0.90000	0.90000	0.90000	0.33109	1.00000	0.33109	0.33109	
hsa9970	0.12180	0.33109	0.33109	0.12180	0.00000	0.04481	0.12180	0.00000	0.04481	0.33109	0.12180	0.33109	0.33109	0.33109	0.33109	0.33109	0.04481	0.00000	0.00000	0.90000	0.12180	0.12180	0.33109	0.33109	1.00000	0.33109	
hsa9971	0.12180	0.90000	0.33109	0.33109	0.00000	0.12180	0.12180	0.00000	0.04481	0.33109	0.33109	0.33109	0.33109	0.33109	0.33109	0.33109	0.04481	0.00000	0.00000	0.90000	0.12180	0.90000	0.33109	0.33109	0.33109	1.00000	
