	 D00049	 D00059	 D00079	 D00094	 D00095	 D00106	 D00110	 D00113	 D00136	 D00139	 D00180	 D00225	 D00227	 D00232	 D00234	 D00235	 D00241	 D00255	 D00270	 D00274	 D00281	 D00283	 D00295	 D00300	 D00301	 D00306	 D00318	 D00332	 D00336	 D00356	 D00364	 D00371	 D00380	 D00394	 D00397	 D00400	 D00410	 D00411	 D00415	 D00419	 D00422	 D00426	 D00432	 D00437	 D00440	 D00442	 D00443	 D00451	 D00454	 D00465	 D00480	 D00483	 D00493	 D00494	 D00498	 D00499	 D00503	 D00509	 D00513	 D00514	 D00520	 D00521	 D00522	 D00523	 D00524	 D00525	 D00528	 D00540	 D00542	 D00559	 D00560	 D00563	 D00574	 D00598	 D00601	 D00604	 D00606	 D00607	 D00609	 D00613	 D00627	 D00632	 D00635	 D00645	 D00646	 D00665	 D00666	 D00673	 D00674	 D00675	 D00676	 D00682	 D00683	 D00684	 D00687	 D00688	 D00715	 D00726	 D00760	 D00765	 D00769	 D00775	 D00779	 D00780	 D00790	 D00837	 D00838	 D00845	 D00954	 D00965	 D00987	 D00996	 D01020	 D01022	 D01024	 D01051	 D01071	 D01103	 D01118	 D01126	 D01164	 D01227	 D01236	 D01242	 D01269	 D01295	 D01297	 D01324	 D01332	 D01346	 D01352	 D01358	 D01386	 D01390	 D01441	 D01454	 D01462	 D01603	 D01652	 D01692	 D01699	 D01712	 D01713	 D01717	 D01745	 D01782	 D01828	 D01871	 D01891	 D01925	 D01964	 D01965	 D01973	 D01994	 D02007	 D02066	 D02070	 D02076	 D02082	 D02147	 D02149	 D02150	 D02234	 D02237	 D02250	 D02278	 D02279	 D02327	 D02338	 D02340	 D02342	 D02349	 D02354	 D02356	 D02357	 D02358	 D02359	 D02361	 D02374	 D02566	 D02578	 D02588	 D02614	 D02671	 D02721	 D02725	 D02826	 D02884	 D02910	 D03165	 D03187	 D03210	 D03274	 D03365	 D03415	 D03442	 D03490	 D03503	 D03621	 D03642	 D03654	 D03858	 D03879	 D03880	 D03881	 D03966	 D04006	 D04034	 D04040	 D04375	 D04625	 D04716	 D04979	 D05113	 D05129	 D05246	 D05312	 D05341	 D05740	 D05792	 D05938	 D06056	 D06396
D00522	0.00000	0.00000	0.00000	0.00000	0.09210	0.00480	0.00000	0.00320	0.00020	0.00000	0.00000	0.00000	0.03310	0.00000	0.00000	0.00000	0.00460	0.11880	0.10010	0.00000	0.00000	0.05440	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03180	0.00000	0.00000	0.02920	0.00020	0.00000	0.00000	0.12230	0.00000	0.00000	0.01290	0.11270	0.00000	0.06240	0.00000	0.00100	0.01330	0.07790	0.00000	0.07930	0.06400	0.00010	0.00010	0.00000	0.00000	0.00010	0.00000	0.00000	0.12570	0.00000	0.00000	0.03260	0.00000	0.00000	1.00000	0.07470	0.00000	0.01980	0.00000	0.00000	0.00000	0.02540	0.00000	0.08140	0.00000	0.01860	0.03350	0.00000	0.00040	0.00000	0.00000	0.00000	0.10480	0.00000	0.03350	0.00000	0.00000	0.00000	0.00000	0.00000	0.00080	0.01270	0.07930	0.00000	0.00370	0.00000	0.05250	0.00000	0.00000	0.00000	0.00000	0.00000	0.08590	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00160	0.01560	0.09210	0.00000	0.00000	0.00000	0.00000	0.00000	0.09420	0.00000	0.00000	0.03710	0.04530	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.01560	0.00000	0.00000	0.00000	0.00000	0.07840	0.00000	0.02920	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.05410	0.00000	0.00000	0.00000	0.00000	0.00010	0.21860	0.00370	0.09210	0.00000	0.00000	0.00000	0.07790	0.00000	0.00000	0.00000	0.00000	0.00000	0.01400	0.00000	0.00000	0.00010	0.00000	0.03350	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01420	0.00000	0.00000	0.00000	0.10010	0.00000	0.11880	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.10010	0.21860	0.00000	0.00000	0.00000	0.00000	0.04920	0.00000	0.00000	0.09390	0.00000	0.01270	0.05250	0.00000	0.03630	0.00000	
D00523	0.00000	0.00000	0.00000	0.00000	0.00000	0.03340	0.00000	0.00010	0.00000	0.00000	0.00000	0.04210	0.03400	0.00000	0.00000	0.00000	0.04160	0.00510	0.00000	0.00000	0.06000	0.06260	0.00000	0.01140	0.00000	0.00000	0.03930	0.00000	0.01900	0.00000	0.00000	0.02990	0.02980	0.00450	0.00000	0.12540	0.00000	0.00000	0.00000	0.00170	0.00000	0.09240	0.00000	0.11360	0.00230	0.00350	0.00000	0.07680	0.08290	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00330	0.00000	0.02640	0.01040	0.00000	0.00000	0.07470	1.00000	0.00000	0.00000	0.00000	0.11700	0.00000	0.07900	0.00000	0.06430	0.00000	0.00570	0.08390	0.06000	0.00000	0.00000	0.00000	0.00000	0.13010	0.00000	0.08390	0.00000	0.00000	0.00000	0.01140	0.00000	0.11760	0.03160	0.07680	0.00000	0.05270	0.00000	0.12570	0.00000	0.00000	0.00000	0.00000	0.00000	0.00080	0.00000	0.00030	0.00240	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02950	0.00000	0.00000	0.05780	0.02820	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.08750	0.00000	0.00000	0.00000	0.00000	0.07620	0.00000	0.02990	0.00000	0.00000	0.03550	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00200	0.00000	0.00000	0.00000	0.00000	0.00000	0.09620	0.05270	0.00000	0.00000	0.01500	0.00000	0.00350	0.00000	0.00000	0.00000	0.02560	0.00400	0.00090	0.00000	0.00000	0.00290	0.13090	0.08390	0.00000	0.00000	0.00000	0.00420	0.00000	0.00000	0.00000	0.00000	0.01120	0.00000	0.00000	0.00000	0.01500	0.00240	0.00000	0.00000	0.00000	0.00000	0.00510	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09620	0.00000	0.00000	0.00000	0.00000	0.05590	0.00000	0.00000	0.05720	0.00000	0.03160	0.12570	0.00000	0.00010	0.00000	
D00524	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.38200	0.00000	0.00000	0.00000	0.03690	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.14210	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.14160	0.00000	0.00000	0.00000	0.04580	0.00000	0.00000	0.00000	0.11690	0.00000	0.00000	0.31330	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01990	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.05370	0.00000	0.00000	0.00000	0.00000	0.00000	0.36350	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.15310	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03440	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01990	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01290	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00525	0.00000	0.00000	0.00000	0.00000	0.00000	0.00890	0.00000	0.04960	0.09460	0.00000	0.00000	0.00030	0.00030	0.00000	0.00000	0.00030	0.05810	0.00490	0.07040	0.00090	0.00700	0.06320	0.00000	0.00000	0.00000	0.00000	0.00330	0.00000	0.00000	0.10930	0.00010	0.00000	0.00000	0.00000	0.12520	0.00100	0.00000	0.00000	0.09720	0.07000	0.00030	0.12250	0.00000	0.05380	0.01420	0.01770	0.00000	0.05150	0.17100	0.10120	0.00000	0.00070	0.06690	0.00000	0.00000	0.00000	0.00170	0.00000	0.00000	0.00440	0.00000	0.00000	0.01980	0.00000	0.14160	1.00000	0.00000	0.00000	0.00000	0.12060	0.07910	0.21480	0.00000	0.02080	0.00030	0.00700	0.00060	0.00000	0.09290	0.00000	0.06660	0.00000	0.00030	0.00000	0.00130	0.00000	0.00000	0.00030	0.12710	0.00080	0.05150	0.00000	0.02890	0.00000	0.05420	0.00000	0.00000	0.05430	0.00000	0.00000	0.06220	0.00000	0.00000	0.07530	0.00000	0.00010	0.00000	0.00010	0.00000	0.00030	0.00270	0.00000	0.00000	0.00000	0.01150	0.00000	0.00000	0.03040	0.00000	0.00000	0.14880	0.00480	0.00000	0.00000	0.00110	0.00000	0.00000	0.00000	0.16320	0.00000	0.00000	0.00000	0.00000	0.00000	0.04870	0.00000	0.00000	0.00000	0.00000	0.00480	0.00090	0.00000	0.00000	0.00460	0.00660	0.00000	0.00000	0.00000	0.00000	0.00000	0.10420	0.00000	0.19130	0.00000	0.00000	0.00000	0.00000	0.07690	0.00490	0.02890	0.00000	0.00000	0.00000	0.00000	0.01770	0.00000	0.00000	0.00000	0.00050	0.01650	0.02450	0.00460	0.00000	0.00000	0.00000	0.00030	0.00000	0.00000	0.00000	0.00050	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00050	0.07530	0.00000	0.00000	0.07040	0.00000	0.00490	0.00000	0.00000	0.00000	0.00000	0.00000	0.00090	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07040	0.00490	0.00000	0.00000	0.00000	0.00000	0.01230	0.00000	0.00000	0.05230	0.00000	0.00080	0.05420	0.00010	0.03700	0.00000	
D00528	0.00000	0.00000	0.00000	0.00000	0.38870	0.00300	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00020	0.00000	0.07520	0.00000	0.00160	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00010	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.02750	0.00000	0.09340	0.00000	0.00000	0.09340	0.00000	0.00000	0.00000	0.00000	0.00000	0.06380	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.04220	0.00000	0.00000	0.00000	0.04140	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.05910	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.38870	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00020	0.00000	0.09340	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09180	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.05910	0.38870	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00250	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00540	0.00000	0.00000	0.00000	0.00000	0.04280	0.00000	0.00000	0.01980	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.02930	0.00020	0.00200	0.00000	0.02900	0.00000	0.08220	0.06090	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000	0.00000	0.00000	0.05750	0.00140	0.00000	0.00000	0.00000	0.01420	0.00000	0.00000	0.00090	0.04570	0.00000	0.00420	0.00000	0.00000	0.02300	0.01730	0.00000	0.00000	0.04720	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000	0.04590	0.04230	0.00000	0.00000	0.00000	0.11700	0.00000	0.00000	0.00000	1.00000	0.00000	0.00460	0.02980	0.00000	0.00000	0.02630	0.02940	0.00000	0.07010	0.00000	0.00000	0.00000	0.00000	0.00000	0.02940	0.00000	0.00000	0.00000	0.00000	0.00000	0.01390	0.01810	0.02300	0.00000	0.00000	0.00000	0.00130	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00170	0.00000	0.00040	0.00000	0.00000	0.00000	0.00040	0.00000	0.04280	0.00000	0.00000	0.00000	0.00000	0.00000	0.20510	0.00000	0.00000	0.05380	0.00170	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00050	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00320	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000	0.01540	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.04280	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01700	0.00000	0.00000	0.00000	0.00000	0.02940	0.00000	0.00000	0.00070	0.05350	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00170	0.00000	0.00000	0.00000	0.00000	0.00200	0.00000	0.00000	0.06090	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.23610	0.00000	0.01810	0.00130	0.00000	0.00000	0.00000	
D00542	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00559	0.00000	0.00000	0.00000	0.00000	0.08350	0.09650	0.00000	0.08090	0.08840	0.00000	0.00000	0.11320	0.08470	0.00000	0.00000	0.02060	0.09990	0.11290	0.02840	0.02870	0.05790	0.06510	0.00010	0.00280	0.00000	0.00000	0.04750	0.00000	0.00000	0.05210	0.00000	0.07460	0.00010	0.04600	0.04060	0.02150	0.00000	0.00000	0.12540	0.02560	0.00420	0.19000	0.00000	0.04070	0.06500	0.16320	0.05150	0.11940	0.14410	0.08970	0.07160	0.00080	0.02160	0.07160	0.00580	0.00210	0.03810	0.00000	0.00230	0.03700	0.00000	0.00000	0.02540	0.07900	0.04580	0.12060	0.04220	0.00460	0.00000	1.00000	0.05550	0.15720	0.00000	0.07340	0.06890	0.05790	0.00140	0.00000	0.05530	0.00050	0.13470	0.01170	0.06890	0.00000	0.07280	0.00000	0.00280	0.00420	0.09560	0.02940	0.11940	0.00000	0.05670	0.00000	0.12170	0.00000	0.00000	0.00890	0.00000	0.00000	0.05030	0.00000	0.00010	0.04490	0.00000	0.02250	0.00000	0.01090	0.00000	0.00080	0.06350	0.08350	0.00000	0.00000	0.02820	0.00000	0.00000	0.05590	0.00000	0.00000	0.22550	0.04770	0.00000	0.07160	0.00040	0.00000	0.00000	0.00000	0.01350	0.00000	0.00000	0.00000	0.00000	0.00000	0.16040	0.00000	0.00000	0.00000	0.00000	0.04470	0.05860	0.07460	0.04600	0.00150	0.00220	0.00000	0.00000	0.00000	0.00000	0.00000	0.06930	0.00000	0.13000	0.00000	0.00000	0.00000	0.00000	0.07890	0.11130	0.05670	0.08350	0.00000	0.00370	0.00000	0.16320	0.00000	0.00000	0.00000	0.00220	0.00610	0.10430	0.00150	0.00000	0.03660	0.02580	0.06890	0.00000	0.00000	0.01570	0.04700	0.00000	0.00000	0.00000	0.00000	0.01840	0.00000	0.00000	0.00000	0.12060	0.04490	0.00000	0.00000	0.02840	0.00000	0.11290	0.00000	0.00000	0.00010	0.00000	0.00000	0.05860	0.00000	0.01170	0.01170	0.01170	0.00000	0.00000	0.02840	0.11130	0.00000	0.00000	0.00000	0.00000	0.09720	0.00000	0.00000	0.10860	0.00000	0.02940	0.12170	0.01090	0.14080	0.00000	
D00560	0.00000	0.00000	0.00000	0.00000	0.03350	0.00000	0.00000	0.01560	0.30900	0.00000	0.00000	0.15140	0.00000	0.00000	0.00000	0.00110	0.20510	0.00160	0.19340	0.27320	0.00000	0.11780	0.00010	0.00000	0.00000	0.00000	0.06960	0.00000	0.00010	0.00000	0.00000	0.00000	0.00010	0.04870	0.00000	0.00000	0.00000	0.00000	0.06280	0.00000	0.00010	0.21790	0.00000	0.00000	0.00330	0.01730	0.00780	0.01900	0.07840	0.01380	0.00000	0.00040	0.10340	0.00000	0.00000	0.00000	0.12960	0.00000	0.13750	0.00200	0.00000	0.00000	0.00000	0.00000	0.00000	0.07910	0.00000	0.02980	0.00000	0.05550	1.00000	0.04250	0.00000	0.00050	0.00110	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00110	0.00000	0.00000	0.00000	0.00000	0.00010	0.01050	0.01420	0.01900	0.00000	0.00000	0.00000	0.00100	0.00000	0.00000	0.28740	0.00000	0.00000	0.00000	0.00000	0.00010	0.00130	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00030	0.03350	0.00000	0.00000	0.02520	0.00000	0.00000	0.11520	0.00000	0.00000	0.14830	0.00140	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.02760	0.00000	0.00000	0.00000	0.00000	0.07090	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.08920	0.00000	0.00000	0.00000	0.00000	0.10610	0.00000	0.00000	0.03350	0.00000	0.00000	0.00000	0.01730	0.00000	0.00000	0.00000	0.00000	0.16680	0.03870	0.00000	0.00000	0.18220	0.00000	0.00110	0.00000	0.00000	0.00000	0.04630	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06020	0.00130	0.00000	0.00000	0.19340	0.00000	0.00160	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19340	0.00000	0.00000	0.00000	0.00000	0.00000	0.00240	0.00000	0.00000	0.07540	0.00000	0.01420	0.00100	0.00000	0.07110	0.00000	
D00563	0.00000	0.00000	0.00000	0.00000	0.00000	0.07130	0.00000	0.03900	0.05870	0.00000	0.00000	0.01270	0.00810	0.00000	0.00000	0.02930	0.10780	0.06160	0.07840	0.00880	0.01400	0.05790	0.00000	0.00000	0.00000	0.00000	0.03790	0.00000	0.00000	0.00000	0.00010	0.00740	0.00010	0.01100	0.00000	0.05830	0.00000	0.00000	0.16110	0.12160	0.01150	0.10140	0.00000	0.16330	0.00620	0.05660	0.00360	0.09330	0.19810	0.12830	0.01950	0.00020	0.03290	0.01950	0.19000	0.00000	0.02150	0.00000	0.00000	0.00200	0.00000	0.00000	0.08140	0.06430	0.00000	0.21480	0.00000	0.00000	0.00000	0.15720	0.04250	1.00000	0.00000	0.03150	0.00000	0.01400	0.10760	0.00000	0.00270	0.00000	0.12720	0.03210	0.00000	0.00000	0.16960	0.00000	0.00000	0.01150	0.04220	0.04310	0.09330	0.00000	0.00730	0.00000	0.04050	0.00000	0.00000	0.01110	0.00000	0.00000	0.01570	0.00000	0.00030	0.00000	0.00000	0.15470	0.00000	0.00010	0.00000	0.00550	0.01080	0.00000	0.00000	0.00000	0.00410	0.00000	0.00000	0.02880	0.00000	0.00000	0.23390	0.11070	0.00000	0.01950	0.00030	0.00000	0.00000	0.00000	0.10850	0.00000	0.00000	0.00000	0.00000	0.00000	0.01970	0.00000	0.00000	0.00000	0.00000	0.05570	0.02700	0.00740	0.00000	0.00410	0.02090	0.00000	0.00000	0.00000	0.00000	0.00000	0.01740	0.00000	0.23370	0.00000	0.00000	0.00000	0.00000	0.02360	0.13490	0.00730	0.00000	0.00000	0.00000	0.00000	0.05660	0.00000	0.00000	0.00000	0.00000	0.01720	0.02250	0.00410	0.00000	0.00460	0.00000	0.00000	0.00000	0.00000	0.04300	0.02220	0.00000	0.00000	0.00000	0.00000	0.07540	0.00000	0.00000	0.00000	0.06510	0.00000	0.00000	0.00000	0.07840	0.00000	0.06160	0.00000	0.00000	0.00000	0.00000	0.00000	0.02700	0.00000	0.03210	0.03210	0.03210	0.00000	0.00000	0.07840	0.13490	0.00000	0.00000	0.00000	0.00000	0.03940	0.00000	0.00000	0.07230	0.00000	0.04310	0.04050	0.00010	0.03510	0.00000	
D00574	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
